Continent	Conference	Members
Africa	2006 Florence	0.0
Africa	2007 Chicago	0.0
Africa	2008 Melbourne	0.0
Africa	2009 San Franciso	0.0
Africa	2010 Barcelona	0.0
Africa	2011 Quebec City	0.0
Africa	2012 Beijing	0.0
Africa	2013 Seattle	8.0
Africa	2014 Hamburg	11.0
Africa	2015 Honolulu	0.0
Africa	2016 Geneva	11.0
Africa	2017 Vancouver	7.0
Africa	2018 Singapore	0.0
Africa	2019 Rome	6.0
Africa	2020 Virtual	0.0
Africa	2021 Virtual	0.0
Africa	2022 Glasgow	0.0
Asia	2006 Florence	254.0
Asia	2007 Chicago	179.0
Asia	2008 Melbourne	263.0
Asia	2009 San Franciso	206.0
Asia	2010 Barcelona	455.0
Asia	2011 Quebec City	249.0
Asia	2012 Beijing	775.0
Asia	2013 Seattle	340.0
Asia	2014 Hamburg	414.0
Asia	2015 Honolulu	584.0
Asia	2016 Geneva	539.0
Asia	2017 Vancouver	509.0
Asia	2018 Singapore	777.0
Asia	2019 Rome	666.0
Asia	2020 Virtual	532.0
Asia	2021 Virtual	378.0
Asia	2022 Glasgow	307.0
Europe	2006 Florence	790.0
Europe	2007 Chicago	575.0
Europe	2008 Melbourne	501.0
Europe	2009 San Franciso	942.0
Europe	2010 Barcelona	1948.0
Europe	2011 Quebec City	849.0
Europe	2012 Beijing	892.0
Europe	2013 Seattle	729.0
Europe	2014 Hamburg	1911.0
Europe	2015 Honolulu	873.0
Europe	2016 Geneva	1575.0
Europe	2017 Vancouver	816.0
Europe	2018 Singapore	669.0
Europe	2019 Rome	1916.0
Europe	2020 Virtual	1314.0
Europe	2021 Virtual	985.0
Europe	2022 Glasgow	1362.0
North America	2006 Florence	1130.0
North America	2007 Chicago	1132.0
North America	2008 Melbourne	441.0
North America	2009 San Franciso	1267.0
North America	2010 Barcelona	1018.0
North America	2011 Quebec City	1222.0
North America	2012 Beijing	590.0
North America	2013 Seattle	1292.0
North America	2014 Hamburg	818.0
North America	2015 Honolulu	1321.0
North America	2016 Geneva	832.0
North America	2017 Vancouver	1370.0
North America	2018 Singapore	565.0
North America	2019 Rome	1148.0
North America	2020 Virtual	2486.0
North America	2021 Virtual	1361.0
North America	2022 Glasgow	1189.0
Oceania	2006 Florence	51.0
Oceania	2007 Chicago	22.0
Oceania	2008 Melbourne	308.0
Oceania	2009 San Franciso	32.0
Oceania	2010 Barcelona	60.0
Oceania	2011 Quebec City	38.0
Oceania	2012 Beijing	40.0
Oceania	2013 Seattle	57.0
Oceania	2014 Hamburg	40.0
Oceania	2015 Honolulu	81.0
Oceania	2016 Geneva	74.0
Oceania	2017 Vancouver	63.0
Oceania	2018 Singapore	80.0
Oceania	2019 Rome	96.0
Oceania	2020 Virtual	116.0
Oceania	2021 Virtual	72.0
Oceania	2022 Glasgow	64.0
South America	2006 Florence	0.0
South America	2007 Chicago	8.0
South America	2008 Melbourne	10.0
South America	2009 San Franciso	9.0
South America	2010 Barcelona	21.0
South America	2011 Quebec City	18.0
South America	2012 Beijing	19.0
South America	2013 Seattle	32.0
South America	2014 Hamburg	15.0
South America	2015 Honolulu	31.0
South America	2016 Geneva	12.0
South America	2017 Vancouver	11.0
South America	2018 Singapore	34.0
South America	2019 Rome	53.0
South America	2020 Virtual	24.0
South America	2021 Virtual	10.0
South America	2022 Glasgow	21.0
